City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Sambava,MG,2022-02-02 20:17:42,-14.2667,50.1667,77.79,80,100,4.38
275,Kargopol,RU,2022-02-02 20:17:42,61.5071,38.9456,1.69,100,97,2.68
276,Tura,IN,2022-02-02 20:18:43,25.5198,90.2201,59.16,55,87,4.65
277,Korla,CN,2022-02-02 20:18:43,41.7597,86.1469,23.67,57,17,5.14
278,Rawson,AR,2022-02-02 20:18:43,-43.3002,-65.1023,81.79,30,100,7.81
279,Port Elizabeth,ZA,2022-02-02 20:18:44,-33.918,25.5701,72.1,94,75,10.36
280,Vao,NC,2022-02-02 20:18:44,-22.6667,167.4833,77.76,81,100,17.36
281,Akersberga,SE,2022-02-02 20:18:44,59.4794,18.2997,23.05,90,50,2.53
282,Milkovo,RU,2022-02-02 20:18:45,54.7167,158.6167,21.25,88,100,9.98
283,Emerald,AU,2022-02-02 20:18:45,-23.5333,148.1667,75.34,100,75,6.91
284,Yaan,NG,2022-02-02 20:18:45,7.3833,8.5667,84.7,14,3,4.99
285,Namibe,AO,2022-02-02 20:18:46,-15.1961,12.1522,73.83,69,76,11.39
286,Tutoia,BR,2022-02-02 20:18:46,-2.7619,-42.2744,80.58,75,99,12.08
287,Terra Nova,BR,2022-02-02 20:18:46,-12.3667,-40.6667,84.07,53,9,2.13
288,Praya,CV,2022-02-02 20:18:47,14.9215,-23.5087,73.94,73,5,20.71
289,Tasiilaq,GL,2022-02-02 20:18:47,65.6145,-37.6368,12.36,71,100,6.87
290,Teguise,ES,2022-02-02 20:18:47,29.0605,-13.564,71.82,38,0,8.05
291,Cabo San Lucas,MX,2022-02-02 20:16:51,22.8909,-109.9124,79.61,44,20,3.0
292,Kenai,US,2022-02-02 20:18:48,60.5544,-151.2583,18.03,86,100,6.91
