City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
233,Haines Junction,CA,35.55,overcast clouds,60.7522,-137.5108,Parkside Inn
234,Vestmannaeyjar,IS,32.99,broken clouds,63.4427,-20.2734,Glamping & Camping
236,Aripuana,BR,76.8,overcast clouds,-9.1667,-60.6333,
237,Lithakia,GR,56.57,overcast clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
238,Waitati,NZ,50.81,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
239,San Rafael Del Sur,NI,77.97,clear sky,11.8485,-86.4384,Hospedaje El Chino
240,Kenai,US,27.14,light snow,60.5544,-151.2583,Aspen Extended Stay Suites
241,Ankazoabo,MG,86.47,broken clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
242,Luanda,AO,82.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
243,Avera,US,54.91,overcast clouds,33.194,-82.5271,
244,Channel-Port Aux Basques,CA,38.08,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
245,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
246,Fortuna,US,49.12,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
247,Nawa,IN,63.84,clear sky,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
248,Antalaha,MG,77.16,moderate rain,-14.9003,50.2788,Hotel Vitasoa
249,Changde,CN,40.93,overcast clouds,29.0464,111.6783,Kangshida Hotel
251,Yueyang,CN,40.95,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
252,Carutapera,BR,79.93,overcast clouds,-1.195,-46.02,Lidera
253,Tasiilaq,GL,17.76,overcast clouds,65.6145,-37.6368,The Red House
254,Charters Towers,AU,74.34,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
255,Cidreira,BR,78.98,clear sky,-30.1811,-50.2056,Hotel Castelo
257,Matadi,CD,94.12,broken clouds,-5.8167,13.45,Hotel Vivi Palace
260,Hermosillo,MX,61.38,clear sky,29.0667,-110.9667,ibis Hermosillo
265,Gizo,SB,79.14,overcast clouds,-8.103,156.8419,Imagination Island
266,Severo-Kurilsk,RU,19.4,overcast clouds,50.6789,156.125,Kak Doma
267,Lalmohan,BD,67.28,scattered clouds,22.3384,90.7419,Sundorbon courier service
268,Tutoia,BR,87.78,overcast clouds,-2.7619,-42.2744,Pousada Guará's
269,Yomou,GN,98.76,scattered clouds,7.5603,-9.2653,
270,Kruisfontein,ZA,80.17,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
271,Marihatag,PH,77.94,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
272,San Quintin,MX,60.89,clear sky,30.4833,-115.95,Don Eddie's Landing
273,Zhezkazgan,KZ,24.78,overcast clouds,47.8043,67.7144,Hotel Zumrat
274,Arkhangelsk,RU,21.31,broken clouds,64.5401,40.5433,DVINA HOTEL
